Country,Current_Weather,Current_Temperature(F),Date
Benin,Scattered clouds.,90,09/05/2023
Burkina-Faso,Scattered clouds.,94,09/05/2023
Cape-Verde,Passing clouds.,82,09/05/2023
Cote-Divoire,Thunderstorms. Overcast.,73,09/05/2023
Gambia,Haze.,91,09/05/2023
Ghana,Broken clouds.,90,09/05/2023
Guinea,Broken clouds.,84,09/05/2023
Guinea-Bissau,Clear.,93,09/05/2023
Liberia,Partly sunny.,91,09/05/2023
Mali,Sunny.,91,09/05/2023
Mauritania,Sunny.,99,09/05/2023
Niger,Clear.,108,09/05/2023
Nigeria,Overcast.,93,09/05/2023
Senegal,Sunny.,81,09/05/2023
Sierra-Leone,Partly sunny.,82,09/05/2023
Togo,Passing clouds.,91,09/05/2023
Benin,Scattered clouds.,91,10/05/2023
Burkina-Faso,Thundershowers. Overcast.,83,10/05/2023
Cape-Verde,Passing clouds.,70,10/05/2023
Cote-Divoire,Partly sunny.,83,10/05/2023
Gambia,Sunny.,90,10/05/2023
Ghana,Scattered clouds.,90,10/05/2023
Guinea,Partly sunny.,86,10/05/2023
Guinea-Bissau,Passing clouds.,95,10/05/2023
Liberia,Partly sunny.,79,10/05/2023
Mali,Passing clouds.,99,10/05/2023
Mauritania,Sunny.,93,10/05/2023
Niger,Sunny.,106,10/05/2023
Nigeria,Overcast.,87,10/05/2023
Senegal,Scattered clouds.,81,10/05/2023
Sierra-Leone,Thunderstorms. Partly sunny.,75,10/05/2023
Togo,Passing clouds.,91,10/05/2023
Benin,Scattered clouds.,91,11/05/2023
Burkina-Faso,Overcast.,89,11/05/2023
Cape-Verde,Scattered clouds.,77,11/05/2023
Cote-Divoire,Partly sunny.,84,11/05/2023
Gambia,Sunny.,84,11/05/2023
Ghana,Scattered clouds.,90,11/05/2023
Guinea,Partly sunny.,88,11/05/2023
Guinea-Bissau,Clear.,82,11/05/2023
Liberia,Partly sunny.,88,11/05/2023
Mali,Clear.,100,11/05/2023
Mauritania,Passing clouds.,74,11/05/2023
Niger,Clear.,102,11/05/2023
Nigeria,Overcast.,88,11/05/2023
Senegal,Partly sunny.,79,11/05/2023
Sierra-Leone,Partly sunny.,84,11/05/2023
Togo,Passing clouds.,90,11/05/2023
Benin,Scattered clouds.,90,12/05/2023
Burkina-Faso,Thunderstorms. Scattered clouds.,90,12/05/2023
Cape-Verde,Partly sunny.,74,12/05/2023
Cote-Divoire,Partly sunny.,82,12/05/2023
Gambia,Sunny.,84,12/05/2023
Ghana,Passing clouds.,90,12/05/2023
Guinea,Scattered clouds.,90,12/05/2023
Guinea-Bissau,Clear.,84,12/05/2023
Liberia,Partly sunny.,81,12/05/2023
Mali,Passing clouds.,93,12/05/2023
Mauritania,Sunny.,91,12/05/2023
Niger,Clear.,86,12/05/2023
Nigeria,Thunderstorms. Low clouds.,79,12/05/2023
Senegal,Scattered clouds.,77,12/05/2023
Sierra-Leone,Partly sunny.,82,12/05/2023
Togo,Scattered clouds.,88,12/05/2023
Benin,Partly sunny.,91,13/05/2023
Burkina-Faso,Overcast.,87,13/05/2023
Cape-Verde,Passing clouds.,71,13/05/2023
Cote-Divoire,Partly sunny.,81,13/05/2023
Gambia,Sunny.,86,13/05/2023
Ghana,Partly sunny.,90,13/05/2023
